spotify_id,name,uri,artist,acousticness,danceability,energy,instrumentalness,tempo,valence
18t7VptO625e1qoT7bNxoP,Love Ain't Gonna Wait For You,spotify:track:18t7VptO625e1qoT7bNxoP,S Club 7,0.00624,0.699,0.753,0.00313,125.983,0.902
1upYuWoyilqR5rHvrnRAXv,Friday Night,spotify:track:1upYuWoyilqR5rHvrnRAXv,S Club 7,0.0423,0.831,0.823,0,103.016,0.973
2oIiuQvKdBj2ovjTRBa9f7,Bring It All Back,spotify:track:2oIiuQvKdBj2ovjTRBa9f7,S Club 7,0.238,0.683,0.871,0,108.04,0.805
7E5kgONrbYMTd9PRAhcTnv,S Club Party,spotify:track:7E5kgONrbYMTd9PRAhcTnv,S Club 7,0.0644,0.643,0.885,0,101.987,0.781
26ncGZfPWquaQ4PfTCcsID,Reach,spotify:track:26ncGZfPWquaQ4PfTCcsID,S Club 7,0.0114,0.6,0.825,7.23e-06,167.166,0.779
3DVvnvQJ4jGsHC4sEjH5FE,Natural,spotify:track:3DVvnvQJ4jGsHC4sEjH5FE,S Club 7,0.177,0.716,0.674,0.000255,97.392,0.776
55VrknOG8cL1Y7p1qaQbC2,Don't Stop Movin',spotify:track:55VrknOG8cL1Y7p1qaQbC2,S Club 7,0.0336,0.823,0.675,0,117.038,0.905
4JnoRnq3D9SJJ0y5u8U4ZM,Have You Ever,spotify:track:4JnoRnq3D9SJJ0y5u8U4ZM,S Club 7,0.569,0.583,0.695,0,139.912,0.513
4WfsrCTeDlxkReW9gXRzln,Alive,spotify:track:4WfsrCTeDlxkReW9gXRzln,S Club 7,0.0915,0.855,0.811,0,116.933,0.932
73LlTbUCA2SkWpLRTYtPWP,Everybody Get Pumped,spotify:track:73LlTbUCA2SkWpLRTYtPWP,S Club 7,0.131,0.647,0.915,0,118.028,0.792
2KpQ8vZSjlBqpPPsvX8JjI,Bring The House Down,spotify:track:2KpQ8vZSjlBqpPPsvX8JjI,S Club 7,0.151,0.777,0.861,0,130.176,0.962
5EONEcTCVPkhxTz1AU6n1C,Rain,spotify:track:5EONEcTCVPkhxTz1AU6n1C,S Club 7,0.0608,0.306,0.826,0.000312,168.012,0.716
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,spotify:track:6CHpr3pY2MbJ5y1076UDnI,Hale,0.882,0.424,0.221,0,125.964,0.299
0dLXpd46EZ3jIVhMo6qSTC,An Innocent Warrior,spotify:track:0dLXpd46EZ3jIVhMo6qSTC,Vai Mahina,0.909,0.283,0.203,0.000661,84.656,0.18
1ERshJBUZysordGDZr5B3t,How Far I'll Go,spotify:track:1ERshJBUZysordGDZr5B3t,Auli'i Cravalho,0.649,0.571,0.307,0,83.72,0.108
48MuLnDtwvSTj7LgPK0f9Q,We Know The Way,spotify:track:48MuLnDtwvSTj7LgPK0f9Q,Opetaia Foa'i,0.36,0.689,0.578,0,98.043,0.391
4SB6mnmUDaJbB0OiyJ23N9,How Far I'll Go - Reprise,spotify:track:4SB6mnmUDaJbB0OiyJ23N9,Auli'i Cravalho,0.827,0.427,0.449,0,83.197,0.231
5frDSkLEcCJjQSdvUB2JG8,You're Welcome,spotify:track:5frDSkLEcCJjQSdvUB2JG8,Dwayne Johnson,0.29,0.788,0.745,0,135.278,0.672
03nYoOTrR5g2Na5IblaUhv,Logo Te Pate,spotify:track:03nYoOTrR5g2Na5IblaUhv,Olivia Foa'i,0.27,0.73,0.804,5.45e-05,137.899,0.897
6RB0lLhO7zUUSi0COMD7lb,I Am Moana (Song of the Ancestors),spotify:track:6RB0lLhO7zUUSi0COMD7lb,Rachel House,0.571,0.36,0.205,0,148.985,0.232
7qqnbgkCwchM2CZnATg4nX,We Know The Way - Finale,spotify:track:7qqnbgkCwchM2CZnATg4nX,Lin-Manuel Miranda,0.551,0.495,0.839,7.08e-06,101.08,0.122
